,Naive,GMV,HRP,RP,SZCZ
2016-08-09,0.4969458937892166,0.40894013004018337,0.40894520498052467,0.4497973492806959,0.09576788643143241
2016-08-10,0.49634066485435846,0.4090695778942015,0.4090746533008083,0.4496208143477207,0.09020686805403422
2016-08-11,0.4835899376919599,0.395902729532428,0.3959077575126264,0.4365789448048052,0.0777395233313527
2016-08-12,0.5043229184667442,0.41642876414348007,0.4164338660575517,0.45723844105176936,0.09196431382027925
2016-08-15,0.5346762573729607,0.44585516814303006,0.44586037604971396,0.4871354658575848,0.1224579057755435
2016-08-16,0.546479113135206,0.45690184974287007,0.4569070974392151,0.4985134145741541,0.12876876062698117
2016-08-17,0.5392486702235093,0.4490475017686184,0.4490527211739479,0.49091114501571176,0.12957126560665988
2016-08-18,0.5418235555809077,0.4524823367437425,0.4524875685211964,0.4939872148791522,0.12837930617281823
2016-08-19,0.5446150368467619,0.45525670654898076,0.45526194831959277,0.4967820910463736,0.12770624249884577
2016-08-22,0.537196320093249,0.44844746611317254,0.4484526833572,0.4896737325601659,0.11305006396609518
2016-08-23,0.5474974589500898,0.4593334733808496,0.45933872983579627,0.5003363324771459,0.11500958545021422
2016-08-24,0.5429889775142898,0.45438856933762284,0.45439380798124285,0.49558807379993675,0.11606197023254272
2016-08-25,0.5338617257976708,0.44451259539567145,0.4445177984664679,0.48601429243268024,0.10763044569452118
2016-08-26,0.5241723319514213,0.4346321602852623,0.43463732776716624,0.4761966838792191,0.10914500231837665
2016-08-29,0.5242933404404457,0.43579606249826,0.4358012341724884,0.47692661264857494,0.11232392728240304
2016-08-30,0.5256735591274855,0.4371271394302314,0.4371323158989404,0.4782781554489508,0.11281304531881986
2016-08-31,0.5261472008482551,0.43899661948685087,0.43900180268934474,0.4795362886785257,0.11579598286997594
2016-09-01,0.5117227691165451,0.42448578526134706,0.42449091619645474,0.46502677077499,0.10663062569883675
2016-09-02,0.5102590593841971,0.42334480333498004,0.4233499301603212,0.46375533897259147,0.1036138653834251
2016-09-05,0.5290615041724351,0.4422003165378088,0.4422055112798786,0.4826340511995235,0.10932154241969227
2016-09-06,0.5419345483244404,0.45511556964197863,0.45512081090422174,0.4955567107042027,0.12654365628437558
2016-09-07,0.545277791547657,0.4592260237344681,0.45923127980238587,0.4993519701852229,0.12418060567847777
2016-09-08,0.5432751372432918,0.45727560812809886,0.45728085717070543,0.49737399645618696,0.12547496687603998
2016-09-09,0.5375309085137736,0.4517185680936602,0.45172379712005317,0.491728036309363,0.11630607288717298
2016-09-12,0.5007138080041782,0.41609632569264887,0.4161014264092924,0.455513683183143,0.08506416912709502
2016-09-13,0.5127872984118218,0.4287442474387253,0.4287493937126263,0.4679421116706233,0.09056198114896685
2016-09-14,0.5123259793484405,0.42616026360181203,0.42616540056831687,0.4662640298616674,0.08430369108417302
2016-09-19,0.5402389892605324,0.4526652523405992,0.45267048477690697,0.4934229469293099,0.09498715206879504
2016-09-20,0.5367942150990672,0.4497023411030159,0.44970756286704794,0.4902261751072885,0.09366757678355886
2016-09-21,0.5413016405829791,0.4542273898492737,0.4542326279123323,0.49476738783946606,0.09769984977859147
2016-09-22,0.5482590112466426,0.46158252679654255,0.4615877913524806,0.501955336976039,0.10587410972152234
2016-09-23,0.5505644573712458,0.46515287085395585,0.4651581482701159,0.5049849717175063,0.10042693331298858
2016-09-26,0.5278759724655251,0.4465964280267949,0.4466016386034646,0.4846223789951578,0.07791991140738141
2016-09-27,0.5411642583935516,0.4598069493896346,0.45981220755002084,0.4978916871894039,0.08666067412886624
2016-09-28,0.5375875812323812,0.4545299297061616,0.45453516885895495,0.49334333667193153,0.08564333599493379
2016-09-29,0.5457349266790734,0.46217770597340935,0.4621829726731561,0.5012109147314634,0.09031979729574302
2016-09-30,0.557141825179531,0.4729643457106736,0.47296965126342183,0.5122765042263575,0.09605847593960282
2016-10-10,0.5708278518171694,0.48555559425293526,0.48556094515880655,0.5253713930859099,0.11411723907710458
2016-10-11,0.5725423430880465,0.4876819343249419,0.4876872928897964,0.5273278569335078,0.11833010758615603
2016-10-12,0.5673134462737552,0.4829385353683848,0.482943876847725,0.5223682680148225,0.118981898494263
2016-10-13,0.5751253478934346,0.48903982205547525,0.48904518551138154,0.5292109322825462,0.11886744458332843
2016-10-14,0.5757240649401527,0.4902304644421229,0.49023583218667066,0.5301446505042293,0.11598326825916994
2016-10-17,0.5636496635329549,0.47892419771057826,0.4789295247304508,0.5184871028685576,0.10476257399637068
2016-10-18,0.5886800871698412,0.5032187622481339,0.5032241767759589,0.5431529579672729,0.11985632222504461
2016-10-19,0.599181886865294,0.5144024440855164,0.5144078988964711,0.5540646905027462,0.11580044278675983
