,open,close,eob
1927,14000.8652,13973.8916,2020-12-08 00:00:00+08:00
1928,13998.6172,13716.5303,2020-12-09 00:00:00+08:00
1929,13672.0537,13731.3418,2020-12-10 00:00:00+08:00
1930,13767.4785,13555.1445,2020-12-11 00:00:00+08:00
1931,13583.1953,13692.1328,2020-12-14 00:00:00+08:00
1932,13682.2754,13763.3125,2020-12-15 00:00:00+08:00
1933,13791.415,13751.0908,2020-12-16 00:00:00+08:00
1934,13746.2812,13889.8662,2020-12-17 00:00:00+08:00
1935,13911.834,13854.1201,2020-12-18 00:00:00+08:00
1936,13858.6592,14134.8496,2020-12-21 00:00:00+08:00
1937,14085.2861,13882.3027,2020-12-22 00:00:00+08:00
1938,13912.5186,14015.0225,2020-12-23 00:00:00+08:00
1939,13998.3584,13915.5742,2020-12-24 00:00:00+08:00
1940,13879.2363,14017.0566,2020-12-25 00:00:00+08:00
1941,14020.9521,14044.1006,2020-12-28 00:00:00+08:00
1942,14042.7949,13970.2109,2020-12-29 00:00:00+08:00
1943,13970.4453,14201.5654,2020-12-30 00:00:00+08:00
1944,14226.2842,14470.6836,2020-12-31 00:00:00+08:00
1945,14516.1211,14827.4688,2021-01-04 00:00:00+08:00
1946,14760.2529,15147.5693,2021-01-05 00:00:00+08:00
1947,15221.4395,15187.6143,2021-01-06 00:00:00+08:00
1948,15178.3477,15356.4033,2021-01-07 00:00:00+08:00
1949,15402.7422,15319.291,2021-01-08 00:00:00+08:00
1950,15353.0791,15115.3799,2021-01-11 00:00:00+08:00
1951,15053.8721,15460.0322,2021-01-12 00:00:00+08:00
1952,15491.0654,15365.4277,2021-01-13 00:00:00+08:00
1953,15283.5566,15070.1289,2021-01-14 00:00:00+08:00
1954,15030.5371,15031.7031,2021-01-15 00:00:00+08:00
1955,14980.5049,15269.2725,2021-01-18 00:00:00+08:00
1956,15278.5352,15003.9854,2021-01-19 00:00:00+08:00
1957,15023.7373,15223.3574,2021-01-20 00:00:00+08:00
1958,15251.6689,15520.5977,2021-01-21 00:00:00+08:00
1959,15508.9375,15628.7305,2021-01-22 00:00:00+08:00
1960,15594.8105,15710.1934,2021-01-25 00:00:00+08:00
1961,15637.3887,15352.4199,2021-01-26 00:00:00+08:00
1962,15328.8691,15413.8428,2021-01-27 00:00:00+08:00
1963,15169.1035,14913.2051,2021-01-28 00:00:00+08:00
1964,15039.8926,14821.9941,2021-01-29 00:00:00+08:00
1965,14841.7139,15024.2441,2021-02-01 00:00:00+08:00
1966,15057.4385,15335.6621,2021-02-02 00:00:00+08:00
1967,15360.4209,15233.1494,2021-02-03 00:00:00+08:00
1968,15135.8506,15105.9395,2021-02-04 00:00:00+08:00
1969,15167.6396,15007.2949,2021-02-05 00:00:00+08:00
1970,15066.4551,15269.627,2021-02-08 00:00:00+08:00
1971,15330.3018,15630.5654,2021-02-09 00:00:00+08:00
1972,15702.1992,15962.25,2021-02-10 00:00:00+08:00
1973,16275.9834,15767.4355,2021-02-18 00:00:00+08:00
1974,15660.4951,15823.1055,2021-02-19 00:00:00+08:00
1975,15818.7656,15336.9512,2021-02-22 00:00:00+08:00
1976,15174.7178,15243.252,2021-02-23 00:00:00+08:00
1977,15281.3965,14870.665,2021-02-24 00:00:00+08:00
1978,15016.6279,14828.8008,2021-02-25 00:00:00+08:00
1979,14480.7412,14507.4453,2021-02-26 00:00:00+08:00
1980,14670.1123,14857.3438,2021-03-01 00:00:00+08:00
1981,14958.2207,14751.1172,2021-03-02 00:00:00+08:00
1982,14679.835,14932.3848,2021-03-03 00:00:00+08:00
1983,14780.9053,14416.0596,2021-03-04 00:00:00+08:00
1984,14156.0127,14412.3115,2021-03-05 00:00:00+08:00
1985,14513.7852,13863.8135,2021-03-08 00:00:00+08:00
1986,13803.2471,13475.7178,2021-03-09 00:00:00+08:00
1987,13721.2354,13563.3389,2021-03-10 00:00:00+08:00
1988,13598.2002,13866.3662,2021-03-11 00:00:00+08:00
1989,13934.2344,13897.0254,2021-03-12 00:00:00+08:00
1990,13793.5225,13520.0664,2021-03-15 00:00:00+08:00
1991,13574.5605,13642.9551,2021-03-16 00:00:00+08:00
